index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",279803,True,True,"","Title Themes","Nintendo Music Selects|Nintendo Music Top Tracks","2fe3f1e6-2195-4f53-ade9-d8f667227545","https://image-assets.m.nintendo.com/b449fc5a-1375-44a4-aa5f-39d302992a19"
2,"Samus Appears",5020,False,True,"","","Nintendo Music Top Tracks","165cf48a-847b-4505-9e1b-83de40c7924e","https://image-assets.m.nintendo.com/ebf616b8-85e9-42ca-aa60-e7e4a24268b4"
3,"SR388 Main Theme",264216,True,True,"","New Adventures","Nintendo Music Selects|Nintendo Music Top Tracks","e6277d1c-a93d-42d9-8ea4-cc411abccce0","https://image-assets.m.nintendo.com/8abb01b2-8ec7-477f-9f72-32c521fc2cda"
4,"Vs. Metroid",36047,True,True,"","Boss Battles","Nintendo Music Selects|Nintendo Music Top Tracks","f59641b9-7fdf-42a9-b2a9-a358f4581646","https://image-assets.m.nintendo.com/34cdf483-12ba-45e9-941c-1f3bcac4635e"
5,"Metroid Destroyed",4921,False,True,"","Victory!","Nintendo Music Top Tracks","da03d3e4-5834-4330-9e60-ec18a4799647","https://image-assets.m.nintendo.com/cce3b472-8ff0-43de-b6df-768a45c3adce"
6,"SR388 Area BGM 1",64510,True,True,"","","Nintendo Music Top Tracks","b8062fe1-e90c-4741-9e67-9a7bde1add63","https://image-assets.m.nintendo.com/51776006-ecd1-4685-bf54-7383c5d46982"
7,"SR388 Ruins",125992,True,True,"","","Nintendo Music Top Tracks","2a64a03d-480a-4a1e-9f57-5e22f4de70c8","https://image-assets.m.nintendo.com/fd043acb-c5bb-460a-866c-519c102af883"
8,"SR388 Area BGM 2",107806,True,True,"","","Nintendo Music Top Tracks","0038be6d-0e3c-4e40-a6a3-50c8e6f78812","https://image-assets.m.nintendo.com/702a811f-820f-4b9a-820d-cbdb2e032ff8"
9,"Item Obtained",6279,False,True,"","","Nintendo Music Top Tracks","c7ddfc98-ffcb-46f9-881a-94359d371707","https://image-assets.m.nintendo.com/da38400f-5dac-4e48-8d53-d3ed2a0779ef"
10,"SR388 Area BGM 3",75085,False,True,"","","Nintendo Music Top Tracks","d15c7087-f03a-4f08-b5e0-c51f1657d9d4","https://image-assets.m.nintendo.com/f12c2cba-bff4-4c50-ad5f-5001b835903a"
11,"SR388 Area BGM 4",86475,True,True,"","","Nintendo Music Top Tracks","f181aae7-ddbc-46a1-bbe9-93385e186d0b","https://image-assets.m.nintendo.com/cf6d8f23-d4b8-4f15-b2ed-0dad6c1687de"
12,"Missiles Obtained",2077,False,False,"","","","47a85606-6601-432d-a634-f47ee5cbd04d","https://image-assets.m.nintendo.com/57142873-ac36-460c-8519-8534018b4963"
13,"SR388 Depths 1",195085,False,True,"","","Nintendo Music Top Tracks","e58acaac-1300-4781-ae15-067f28561d21","https://image-assets.m.nintendo.com/e963147d-383d-4bc2-85f7-2f5b61c85d77"
14,"SR388 Depths 2",120085,False,True,"","","Nintendo Music Top Tracks","2b223ed2-3833-4115-9f13-a6a97ae07cb1","https://image-assets.m.nintendo.com/d3cbadab-06cc-43c7-9944-17b2e5af3a9d"
15,"Metroid Propagation",70085,False,True,"","","Nintendo Music Top Tracks","9fbc077a-84df-46a2-91f3-5beffd214fc6","https://image-assets.m.nintendo.com/3840f280-dfe7-40bb-be70-9c4a21cf58e6"
16,"SR388 Depths 3",30085,False,True,"","","Nintendo Music Top Tracks","04c398f0-630f-4939-9d5f-77b26b63dbb8","https://image-assets.m.nintendo.com/2f90c698-0aef-452c-9455-d350cfabf9f4"
17,"Vs. Queen Metroid",61951,True,True,"","The Final Battles","Nintendo Music Top Tracks","cc5cee95-24c3-40de-9198-ff44dd3d6c52","https://image-assets.m.nintendo.com/6c223da8-4530-4d3c-b1c8-c3470f7606dc"
18,"Escape",180085,False,True,"","","Nintendo Music Top Tracks","44a878a1-1ea6-4a5c-ae1e-3bb20f7dcbe9","https://image-assets.m.nintendo.com/3f6d70ea-182f-44c6-aec6-94d1725ce455"
19,"Ending",125437,False,True,"","Staff Credits","Nintendo Music Top Tracks","40281dc7-2256-4fd5-bb06-340f7d5c1cbb","https://image-assets.m.nintendo.com/24cb2fb7-3d35-4d7f-a1ca-f000645b26d4"
