index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Paper Mario: The Thousand-Year Door (Japanese Ver.)",260263,True,True,"","","Nintendo Music Top Tracks|Nintendo Switch Selects","e0200efd-420f-4b4e-9fee-98eba9d04bbe","https://image-assets.m.nintendo.com/63806b29-0d40-4e9e-ab21-6aec0971264c"
2,"Paper Mario: The Thousand-Year Door (International Ver.)",260262,True,True,"","","Nintendo Music Top Tracks|Nintendo Switch Selects","fe681d3f-8b35-49a9-b94e-0b31053d450d","https://image-assets.m.nintendo.com/a49e91f5-811e-4e0d-9417-bbacce60cf68"
3,"An Awfully Long Time Ago...",109753,False,True,"","","Nintendo Music Top Tracks","6ca49b40-6851-4b78-85e9-f79f5dda04ab","https://image-assets.m.nintendo.com/8c274770-a143-4c2c-922a-836f7677681b"
4,"Prologue",114930,True,False,"Peach","","","cdfc8aad-0369-4b7d-8094-424f206addfe","https://image-assets.m.nintendo.com/68e10237-ea59-48a3-9f96-1139179cc2cb"
5,"Mario's House",199845,True,False,"Papery Peers","","","50511645-64d6-4446-9c1b-cda5564c9b37","https://image-assets.m.nintendo.com/265a862d-ce65-4ff2-b293-c93ffe01b369"
6,"Greetings from the Mushroom Kingdom",110026,True,False,"Papery Peers","","","8bf60eb3-5222-4d2b-83b8-5a41caf9d0ab","https://image-assets.m.nintendo.com/0ab2cd99-0d74-4680-810d-5d16e81bd2dc"
7,"A Letter from Princess Peach",218281,True,False,"Peach","","","56255e59-c7d2-40a0-9284-b4dcde8cc707","https://image-assets.m.nintendo.com/25d9fdfe-ffdf-4e73-b279-2a7720ced200"
8,"Grand Opening",20180,False,False,"","","","7b96c323-9f8b-4543-a211-08ad613d9b60","https://image-assets.m.nintendo.com/b6fdb5e8-353a-49df-acd8-35c22441e281"
9,"Rogueport",290208,True,True,"Goombella|Ms. Mowz|Paper World","","Nintendo Music Top Tracks|Nintendo Switch Selects","b0ea0e80-7924-4e7c-837f-35e54c07e003","https://image-assets.m.nintendo.com/89149d91-5a65-4697-b67c-37dce34ebcfa"
10,"Rogueport - Podley's Place",300060,True,False,"Paper World|Papery Peers","","","80de2539-e066-46b1-8dcf-c79fc0f80f84","https://image-assets.m.nintendo.com/bcb57391-eb39-4609-8f71-fc5193d35b7b"
11,"Rogueport Shops",300477,True,False,"Paper World|Papery Peers","","","f2a27bee-6c6f-4ed1-8deb-6f46cde41e4d","https://image-assets.m.nintendo.com/b2e361bc-323c-49e3-87a1-22762be88d48"
12,"Rogueport Harbor",299824,True,False,"Paper World","Summer","","5f9bc0f2-ede5-4c79-a4b2-6c44422aa6f6","https://image-assets.m.nintendo.com/7a5caf1c-2820-4643-b9e5-580db71570e3"
13,"Rogueport - Sublevel One",205117,True,False,"Paper World","","","172f5e4d-fb5a-4170-a0d2-1f57926f5555","https://image-assets.m.nintendo.com/22c8323d-42c1-49dd-91c8-60520a290820"
14,"Rogueport - Sublevel Two",200170,True,False,"Paper World","","","2f3a3590-c48f-4706-b3cc-449ca18b169a","https://image-assets.m.nintendo.com/4dec405d-7f98-4d46-80a8-afdd3250393e"
