index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Disc Startup Screen (Wii Party)",9241,False,True,"","","Nintendo Music Top Tracks","9a955843-2b7d-496a-a51d-473c08782912","https://image-assets.m.nintendo.com/a33e278f-4f32-474a-9ea4-5506ab2d3ab1"
2,"Title Screen",109024,True,True,"","Title Themes","Nintendo Music Selects|Nintendo Music Top Tracks","caeb0444-d346-491a-8de8-2fcaad508ac0","https://image-assets.m.nintendo.com/1f21eac2-a5a3-4400-a12c-989cc8d94060"
3,"Menu Screen",155516,True,True,"","Break Time","Nintendo Music Selects|Nintendo Music Top Tracks","5152cbac-f405-4911-8edb-aa9827a2b1b3","https://image-assets.m.nintendo.com/060c8660-ec55-42b5-abc8-e88f227df766"
4,"Suggestions",109892,True,True,"","","Nintendo Music Top Tracks","af9baf1e-62fe-42f5-a298-ba1e5e6aad03","https://image-assets.m.nintendo.com/a0412989-1e39-4b73-8181-75215aefa2fa"
5,"Board Game Island (Intro)",10623,False,False,"Party Games","","","b9e87b4a-f049-4493-bbfe-03e36ca522e7","https://image-assets.m.nintendo.com/74662f53-fd96-4ec2-9ece-b34130497a1b"
6,"Board Game Island",145369,True,True,"Party Games","","Nintendo Music Selects|Nintendo Music Top Tracks","0c002ed5-694f-49c9-902b-db00c015b977","https://image-assets.m.nintendo.com/8898742b-ac0a-46dd-bfbd-f44466b90af5"
7,"Board Game Island (Volcano)",97326,True,False,"Party Games","","","258b8cb5-260a-425a-9c63-ee7ec0ee7a26","https://image-assets.m.nintendo.com/f653db9d-9a9e-4c16-b6b7-3734922fdc75"
8,"Board Game Island (Final Challenge)",82117,True,True,"Party Games","","Nintendo Music Top Tracks","39d3e73c-42fb-43c2-8693-bd5614d9aabf","https://image-assets.m.nintendo.com/af55109f-9f05-41bd-8d0c-56e4cad1bc92"
9,"Board Game Island (Victory)",7498,False,False,"Party Games","Victory!","","db5ed2b6-b597-4d48-81b5-7e46f2c145a0","https://image-assets.m.nintendo.com/3f2103b6-36f1-4f05-84e9-2ac4dc591444"
10,"Game Over",47077,True,False,"Party Games","","","b3b47341-802b-4639-b21c-8ad6d87345b6","https://image-assets.m.nintendo.com/f1f050c3-1629-422e-857f-649853c986e9"
11,"Party Games: Results Time",98569,True,True,"Party Games","","Nintendo Music Top Tracks","eac1af2e-20b2-4f7b-9199-fb5d428fb2a8","https://image-assets.m.nintendo.com/45724b96-d881-4cc6-8785-f2b99d5d5e2d"
12,"Globe Trot (Intro)",10461,False,False,"Party Games","","","a442eb5b-383d-4e4a-b8be-f2c897836786","https://image-assets.m.nintendo.com/ccd56067-387d-4689-b1ea-ee9f72d289c4"
13,"Globe Trot",144233,True,True,"Party Games","","Nintendo Music Top Tracks","298f4a93-ce9f-4471-8243-cecfef720b5c","https://image-assets.m.nintendo.com/0ee051bf-d052-4e9f-b904-b2943fc54cb6"
14,"Reached a Hot Spot",5196,False,False,"Party Games","","","011c3107-2528-4011-80fa-7a6d125b79b4","https://image-assets.m.nintendo.com/bcf5244c-e71b-46ce-bf95-76f602752cd8"
15,"Globe Trot (Three Turns Left)",155583,True,True,"Party Games","","Nintendo Music Top Tracks","2e68da78-b851-4328-ab07-14b9013b726f","https://image-assets.m.nintendo.com/6f5979ba-0e94-464b-9b10-60bf0cd6bc6b"
16,"Victory!",29893,True,False,"Party Games","Victory!","","96abeb39-2bbc-4fcc-bdfd-59e5a3acbca9","https://image-assets.m.nintendo.com/d7f0de4d-8aac-4fee-b026-e3b112a5a99b"
17,"Swap Meet (Intro)",9340,False,False,"Party Games","","","6da7798f-18a9-4ae8-b703-dbf5f16fc997","https://image-assets.m.nintendo.com/f6fdd1e2-2f37-47c6-b784-7bd40284fc7b"
18,"Swap Meet",91096,True,True,"Party Games","","Nintendo Music Top Tracks","bec35bf0-7cdc-458a-8900-5b77a6f9605e","https://image-assets.m.nintendo.com/a92842ae-ff4c-48c2-b375-c30462a13454"
19,"Swap Meet (One to Go!)",101706,True,True,"Party Games","","Nintendo Music Top Tracks","68a67ec4-d9c5-4ec8-b35d-385d66cd4d81","https://image-assets.m.nintendo.com/11ca707a-b55a-456b-a106-c81255564c44"
20,"Spin-Off (Intro)",12709,False,False,"Party Games","","","42ff17ce-e365-4935-86c6-5166d1a51032","https://image-assets.m.nintendo.com/643f5cc2-206a-4685-9989-34a12ecc05fb"
21,"Spin-Off",124814,True,True,"Party Games","","Nintendo Music Top Tracks","0321ab21-1453-4b4c-b884-52e06f44370c","https://image-assets.m.nintendo.com/591897ed-87b5-4452-8357-c5491d0c1b66"
22,"Got Medals",4362,False,False,"Party Games","","","34f463b8-ecb4-468f-990e-d2414aa47089","https://image-assets.m.nintendo.com/2c23095b-f258-4c2e-bead-938e575497c3"
23,"Got Lots of Medals",6305,False,False,"Party Games","","","6318a59c-75e7-4166-9812-f634a90a7846","https://image-assets.m.nintendo.com/c7c4ed3f-f60c-4dba-92e0-5b841df56a3e"
24,"10,000 Medals in the Bank",115271,True,True,"Party Games","","Nintendo Music Top Tracks","099dee44-3dd1-48b4-b4b5-a224f1e2b26a","https://image-assets.m.nintendo.com/c2cbd219-49ff-4e85-b77e-7eb99ad8437c"
