index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",65612,True,True,"Yoshi","Pantalla del título","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","6aa78e8f-2e1a-433e-b1d7-22a87d36269b","https://image-assets.m.nintendo.com/b44bd184-e38b-430c-ae35-05f6f848891c"
2,"Opening Scene 1: Start Game",8830,False,False,"","","","7c1b9c3c-0104-4a3a-810f-72f43dc7791f","https://image-assets.m.nintendo.com/64c40b10-97d6-471b-bf32-d4b09f63f888"
3,"Opening Scene 2: Yoshis at Peace",24571,False,False,"","","","8e180f35-4c96-4b85-a267-2c169f3ed127","https://image-assets.m.nintendo.com/973a689d-da38-43d0-aaf6-acb5c3f8e970"
4,"Opening Scene 3: Baby Bowser & Kamek Appear",61101,False,False,"Kamek","","","033883c5-259c-4a08-b94d-e970716eea0e","https://image-assets.m.nintendo.com/bba3989b-d9c2-46aa-a104-c1a1534c1d13"
5,"Opening Scene 4: The Forest",74238,True,False,"","","","b5469010-f792-4ae5-820e-268a67ef4b62","https://image-assets.m.nintendo.com/3589b1cb-f61d-44d0-a9be-1a44fe67cbf5"
6,"World Map 1",65612,True,True,"","","Destacados de Nintendo Music","612b5bc0-ee82-4b24-aee8-38dcc46bc8e1","https://image-assets.m.nintendo.com/c38c30bb-6d9f-415b-a392-4517b77a4c18"
7,"Main Theme",135085,True,True,"Niveles|Yoshi","De paseo|Nuevas aventuras|Primavera","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","2a731fc0-7b60-4e6e-bbd9-e265416828e1","https://image-assets.m.nintendo.com/45e0879b-5e1b-47f1-8a84-0f71c7a6bd41"
8,"Course Clear",8076,False,True,"","","Destacados de Nintendo Music","8ae1aba2-e912-4046-9a86-2c89058afbb3","https://image-assets.m.nintendo.com/9f93cc2c-0a3c-4c6a-96f2-8335717007c2"
9,"Course Clear: Results",76528,True,False,"","","","a6e1b8bf-8930-4e04-abdd-cd3ef4631f93","https://image-assets.m.nintendo.com/04cfedb3-0169-44d4-b3d7-00a5925f2465"
10,"Big, Beefy Boss",112483,True,True,"Desafíos","","Destacados de Nintendo Music","d49eef96-4c7d-4328-9a42-a3282a7a797e","https://image-assets.m.nintendo.com/27f9adc0-bf2c-4d7d-a0f8-04d2977969db"
11,"Poochy Pups Appear",50641,True,False,"","","","f721840f-7bc7-474b-9997-f61b2630e438","https://image-assets.m.nintendo.com/3a9e2af8-9d83-4cdd-aab1-f891ff1f7aab"
12,"Challenge Course Lobby",51085,True,True,"Niveles","","Destacados de Nintendo Music","1ea765cc-e159-4d22-877f-6d90f01027d8","https://image-assets.m.nintendo.com/74d06786-0cdf-4411-8e7f-3542e337baf2"
13,"Go for the Flower!",111085,True,True,"Niveles","En carrera","Destacados de Nintendo Music","1e6c2022-95b5-46cb-8c18-da73b76f50d0","https://image-assets.m.nintendo.com/d4effa26-cd0a-426d-98a7-9d4d5ca9638b"
14,"Beyond the Wild",127366,True,True,"Niveles","","Destacados de Nintendo Music","8081252d-fcda-4315-a6e0-44247733989b","https://image-assets.m.nintendo.com/56e67a64-2ee7-4748-8147-01178336462b"
15,"Chatting before the Boss Battle",87066,True,False,"Desafíos","","","117cb6c5-296b-494c-a1e7-d6e2b3b06893","https://image-assets.m.nintendo.com/0cd638f6-6b2d-458d-9f3d-fef1deb95e28"
16,"Boss Transformation: Tin-Can Condor",21134,False,False,"Desafíos","","","cf58733c-3c5c-4c76-8b74-6f61782f94d4","https://image-assets.m.nintendo.com/4ecdef2f-b4a1-485c-b2c4-45b4741ab199"
17,"Bigger, Beefier Boss",93478,True,True,"Desafíos","Enemigos temibles","Destacados de Nintendo Music","a4758798-b3ed-482c-9cca-d4a4aa255e04","https://image-assets.m.nintendo.com/5a318556-abfb-42bc-9cd2-b20eba844545"
18,"Boss Defeated",7549,False,False,"Desafíos","¡Victoria!","","e8eaaf4c-d047-41b3-8e9c-d9a8fa10c5d2","https://image-assets.m.nintendo.com/178ff51a-0450-4194-b928-819af2c88458"
19,"Chatting with Kamek after the Boss Battle",50315,True,False,"Desafíos","","","d2f4f1da-1522-4147-9e55-7008e7c2a996","https://image-assets.m.nintendo.com/fc701557-0590-4efb-b735-3924bd776d5d"
20,"Found a Dream Gem - Part 1",11386,False,False,"","","","86d63fcd-f1ac-4791-b8c4-2694c3a58de0","https://image-assets.m.nintendo.com/538b8734-7097-4f08-83da-31d8e2e0c002"
21,"Found a Dream Gem - Part 2",7554,False,False,"","","","c021cc5e-6b54-4edd-afce-47a0f7683e3b","https://image-assets.m.nintendo.com/c6133a8a-6788-4cd5-b16c-6703feb657d5"
22,"Found a Dream Gem - Part 3",97820,True,False,"","","","f6b9da72-e1f9-477b-941a-deab8c6a388a","https://image-assets.m.nintendo.com/3cf01983-b321-410c-83b5-08598e64bf0b"
