index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Ike's Resolution",304714,True,True,"Campi di battaglia|Ike|Il popolo di Tellius","","Il meglio di Nintendo Music","f3beaaa7-a740-470a-b60d-3ebe69101a24","https://image-assets.m.nintendo.com/b096f32b-96b3-429c-8b76-50aedc336ca4"
2,"Like Father, Like Son",117429,True,True,"Campi di battaglia|Ike","","Il meglio di Nintendo Music","5ee04593-eb42-4054-900c-5f2e9d00d0f2","https://image-assets.m.nintendo.com/4a083956-25ae-4524-a40a-bce4170a1292"
3,"The First Fight",127395,True,True,"Campi di battaglia","","Il meglio di Nintendo Music","677aa9f7-9896-4aad-9926-c395b95418d9","https://image-assets.m.nintendo.com/6b843a5a-6f3f-4204-9eb1-ec683b2a1ba9"
4,"A Battle and a Beginning",118341,True,True,"Campi di battaglia","Inizia l'avventura","Il meglio di Nintendo Music","5ca7b85e-40af-4add-86eb-bb37191bb312","https://image-assets.m.nintendo.com/8105f0a5-f25d-485a-9a02-0cc48a2bc15e"
5,"Greil Mercenaries",302331,True,True,"Campi di battaglia","","Il meglio di Nintendo Music","f4112619-95d2-4b64-9418-f7b3967ed4ad","https://image-assets.m.nintendo.com/9f3b1041-a6e9-44cb-acca-025d82322304"
6,"Change of Scenery",284002,True,True,"Campi di battaglia","","Il meglio di Nintendo Music","54a46e11-2a14-4037-8a33-6fbe85b9acc6","https://image-assets.m.nintendo.com/ba647b1d-fc18-4db6-af94-08cc33e2b782"
7,"Crimea Attacks",405116,True,True,"Campi di battaglia","","Il meglio di Nintendo Music","ce0ca09e-2996-411f-b74f-7d618b3f8408","https://image-assets.m.nintendo.com/16378bbf-a636-4258-a54a-f546d6fd3901"
8,"Congregation of Ambition",335085,True,True,"Campi di battaglia","","Il meglio di Nintendo Music","f8e8e1ea-608c-4291-a9cc-39e1bfdf7495","https://image-assets.m.nintendo.com/b71c4212-048a-4fd8-a208-d31f44418612"
9,"Victory Is Near",135245,True,False,"Campi di battaglia","Per camminare","","1c6709d7-b020-44dd-b420-b8c123ef19f9","https://image-assets.m.nintendo.com/94e6a4b5-2dc7-47a4-8ba4-3fa35523cbe4"
10,"Side Battle",153377,True,False,"Campi di battaglia","Per camminare","","1035186c-7a07-4c62-b2d6-b4f3468fbb04","https://image-assets.m.nintendo.com/19a17672-704a-4e4e-8c57-398d565fd31d"
11,"Clash",87255,True,True,"Battaglie","","Il meglio di Nintendo Music","84d729bb-1a52-44f0-93c2-4a327fad4065","https://image-assets.m.nintendo.com/8f21a30c-d01a-43a0-896d-49fd6800949d"
12,"Decisive Attack",77141,True,True,"Battaglie","","Il meglio di Nintendo Music","7c2f04b7-ac64-48ff-b551-bed70f0dffc2","https://image-assets.m.nintendo.com/0b301942-74d0-45da-b62b-4352ca5ded8d"
