index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"To the Dream Buffet, with the Dream Fork",38582,False,True,"","","Il meglio di Nintendo Music","9d22acc9-397a-4d1e-b284-7edfd7308d7b","https://image-assets.m.nintendo.com/48688fbb-f093-49a7-b72d-0ffad52dfad5"
2,"Kirby's Dream Buffet",117265,True,True,"","Temi dello schermo del titolo","Il meglio di Nintendo Music","17e00cc7-fceb-49dd-89ab-2fd80ee718c8","https://image-assets.m.nintendo.com/d17b8f9b-0ed5-44ce-b6a8-b5d1b89acf13"
3,"Ready to Roll",100504,True,True,"","","Il meglio di Nintendo Music","864c18f3-51c5-44eb-abc0-7adb4a13e02b","https://image-assets.m.nintendo.com/f9975c0d-f18d-426d-8c8a-889f6254fdfe"
4,"Today's Free-Spirited Special",65349,True,True,"","","Il meglio di Nintendo Music","90431255-09bf-46ff-bbd3-bfc1f611bce8","https://image-assets.m.nintendo.com/183cb689-7733-4471-8914-965b1a26519d"
5,"I'm a Hungry Pink Puffball!",218421,True,True,"Corse","Party|Per darsi la carica","Il meglio di Nintendo Music|Il meglio di Nintendo Switch","c74ebb9b-96fe-47e1-b014-66e01becb795","https://image-assets.m.nintendo.com/00d11d7e-15a2-4c95-8b01-4d6c6c7ffdfd"
6,"Cute, Colorful Candies",251540,True,True,"Corse","Per correre","Il meglio di Nintendo Music|Il meglio di Nintendo Switch","ac4e6330-4423-4bda-ace4-7752785a88bb","https://image-assets.m.nintendo.com/d0d79f4f-0795-453a-8ff4-a5bb66b42721"
7,"Working Up an Appetite",166192,True,True,"Corse","Per correre","Il meglio di Nintendo Music","cb379b4d-dd0c-4756-8292-33330ba41e1b","https://image-assets.m.nintendo.com/1bb3c8bc-6e90-4c00-aa49-798c3a5fde4f"
8,"On a Fun Drive with You",179687,True,True,"Corse","Per correre","Il meglio di Nintendo Music","9dbacddf-dafc-4bbc-b66d-746442868f83","https://image-assets.m.nintendo.com/a1adaf20-bd6d-4fcd-b353-574657945781"
9,"Mechanical King Dedede",65679,True,True,"King Dedede|Minigiochi","","Il meglio di Nintendo Music","a6296cc5-c184-49ec-84ae-b0ef39cedf93","https://image-assets.m.nintendo.com/551113a7-31c5-40f3-9c74-1ba0142edaaf"
10,"Let's Get the Stars Back",69679,True,True,"Minigiochi","Party","Il meglio di Nintendo Music","9e334e31-39dd-4de8-96e4-7d7aace2f032","https://image-assets.m.nintendo.com/1801bd56-6563-4450-a21d-02a2d0f96e52"
11,"Hovering into the Sky",75429,True,True,"Minigiochi","","Il meglio di Nintendo Music","60d3717f-5a5f-440b-9e2b-264f702d8bf1","https://image-assets.m.nintendo.com/ef4b2a20-470e-475d-83fd-fa3236372502"
12,"Roll to Defeat the Boss!",46180,True,True,"Minigiochi","","Il meglio di Nintendo Music","ca263728-1c70-454c-8e6a-205df82f3514","https://image-assets.m.nintendo.com/12bf60d3-4e8e-445f-8525-a31f539404e8"
13,"The Soul's Birthday",71965,True,True,"Minigiochi","","Il meglio di Nintendo Music","01572ebc-33ce-4f69-a515-3e6672a7a506","https://image-assets.m.nintendo.com/2370ed03-a870-4efd-b128-b777a4d63ee6"
