index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"File Select",72948,True,True,"","","Il meglio di Nintendo Music","b7fce672-f3a8-4988-90fe-77f8547755a9","https://image-assets.m.nintendo.com/d99b1e3d-fefd-4d8c-9e28-1f97893de219"
2,"Main Theme",119563,True,True,"Livelli","Inizia l'avventura","Il meglio di Mario|Il meglio di Nintendo Music","ee2fe532-ff41-400e-9019-008d2f68933b","https://image-assets.m.nintendo.com/9f6b5a67-7d0d-45e1-a8e6-7d1b379aaa09"
3,"Course Clear",3309,False,True,"","","Il meglio di Nintendo Music","819f67a8-2ca1-48bc-b37f-b418de25a15c","https://image-assets.m.nintendo.com/1e2cddec-3d9f-4de0-8bf7-037d1c41b2fc"
4,"Mario Land",40755,True,True,"Mario Land","","Il meglio di Mario|Il meglio di Nintendo Music","20798742-6041-429d-8817-55b56b75b3df","https://image-assets.m.nintendo.com/863c651c-41e8-4674-81d3-204271b3c518"
5,"Tree Zone",30292,True,True,"Mario Land","","Il meglio di Nintendo Music","5b285227-1617-4494-a2a4-d9960472e930","https://image-assets.m.nintendo.com/34b0d898-b5ec-48b9-94bf-910ee110af0b"
6,"Roots Course (Tree Zone)",69717,True,True,"Livelli","","Il meglio di Nintendo Music","4147f3a3-4ddc-4e4b-b451-428383d50314","https://image-assets.m.nintendo.com/504696e9-27a8-4833-8271-339d75825a6f"
7,"Boss BGM",62734,True,True,"","Scontri con i boss","Il meglio di Mario|Il meglio di Nintendo Music","ce525dbe-4335-4052-b337-2fe76179a476","https://image-assets.m.nintendo.com/81602682-a8cb-4eb8-9fd6-1a11f72b7c6b"
8,"Zone Clear",4203,False,True,"","Vittoria!","Il meglio di Nintendo Music","964360b6-d16c-4ea6-bfa8-b0f2379177ac","https://image-assets.m.nintendo.com/02bf966f-8d6e-45f8-b35a-38c83508b480"
9,"Got a Golden Coin",15833,False,False,"","","","b9325ebf-e127-4176-bd52-3e1a4e966d5e","https://image-assets.m.nintendo.com/6cc8c687-aea5-44a8-843d-780676c7c911"
10,"Turtle Zone",25770,True,True,"Mario Land","","Il meglio di Nintendo Music","6256691f-c345-4093-a831-f18c90485774","https://image-assets.m.nintendo.com/011dbd15-325e-43af-9832-80909d4f0606"
