index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"GameFreakロゴ",11560,False,True,"","","Nintendo Musicピックアップ集","d8b33a5d-3692-4115-9e39-bd2c766da136","https://image-assets.m.nintendo.com/fa968025-0339-4a22-b7dc-30fbb294056f"
2,"オープニングデモ",16186,False,True,"","","Nintendo Musicピックアップ集","4da74b83-2e71-440b-930b-991d58d29c67","https://image-assets.m.nintendo.com/96808a3e-3b34-4543-b661-b3d20c3d6ed1"
3,"～オープニング～",96826,False,True,"","タイトル画面|元気を出して","Nintendo Musicセレクション|Nintendo Musicピックアップ集","d53e438b-24bd-4f35-9022-4b6040a3fa77","https://image-assets.m.nintendo.com/fb981f58-2fbf-4460-8157-73c56952f81f"
4,"ゲーム説明",42693,False,False,"","","","2bb91eb9-b53e-4cdb-bbc6-c6ff5e5a5fa3","https://image-assets.m.nintendo.com/357464da-52d7-479d-80aa-56264a7cacb9"
5,"ポケモンの世界へようこそ！",65093,False,True,"オーキド博士","","Nintendo Musicピックアップ集","8a83b339-bcda-4ac7-8436-37c1888a96d2","https://image-assets.m.nintendo.com/51376a31-0e0a-4d3c-9b06-bbaaa9e1c69d"
6,"マサラタウンのテーマ",94533,False,True,"オーキド博士|グリーン|フィールド","ほっとひと息","Nintendo Musicセレクション|Nintendo Musicピックアップ集","ab349d9f-a6ab-4557-958c-7f240bf63fc9","https://image-assets.m.nintendo.com/2a84f0ab-90e1-4c0c-89c6-257b1d24711b"
7,"オーキド博士",48320,False,True,"オーキド博士","","Nintendo Musicピックアップ集","c0706c6e-ad7f-44cb-b9f7-969b87f00f5f","https://image-assets.m.nintendo.com/06d42d13-d85f-46dd-a8b7-f17a300e4d09"
8,"オーキド研究所",48133,False,True,"オーキド博士|グリーン","","Nintendo Musicピックアップ集","6be54c66-7b07-4748-b00d-82aa945dbc1d","https://image-assets.m.nintendo.com/37c97fa3-f349-4f13-8704-258cfdcb86c7"
9,"ライバルあらわる",48293,False,True,"グリーン","","Nintendo Musicピックアップ集","1a9d9902-6565-4645-a923-65aa2acbff85","https://image-assets.m.nintendo.com/5371da50-dc43-46fc-b80f-963b2c41bbf1"
10,"戦い（VSトレーナー）",193000,False,True,"グリーン|ポケモンバトル","元気を出して","Nintendo Musicセレクション|Nintendo Musicピックアップ集","5491ac98-6cba-4fa8-b810-8b4f80b9f37c","https://image-assets.m.nintendo.com/5f0e5b2f-79e3-4062-ab7a-83f5147d6ef2"
11,"勝利（VSトレーナー）",42186,False,False,"グリーン","Win!","","d900dd3d-6ad3-465f-9dd4-d77e6a75beee","https://image-assets.m.nintendo.com/51e2543f-5c7b-4408-8629-86c107d0cd45"
12,"トキワへの道‐マサラより",55960,False,True,"フィールド","冒険のはじまり","Nintendo Musicピックアップ集","6bfc9e53-b2df-4430-bf50-f87152b9ba05","https://image-assets.m.nintendo.com/2b03d449-f6c7-45fe-842b-ccae1802ee38"
13,"ニビシティのテーマ",126933,False,True,"フィールド","ウォーキング","Nintendo Musicピックアップ集","bcebf2d2-cd30-43a5-bd0d-36fe79a71a1f","https://image-assets.m.nintendo.com/223fb913-c538-4d16-ba32-2390bdea409b"
14,"教えテレビメニュー",17586,False,False,"","","","3f3fc611-0025-4833-9204-ef9e14cca12e","https://image-assets.m.nintendo.com/975109b3-16f0-436a-97ca-23304b580910"
15,"トキワの森",166066,False,True,"フィールド","","Nintendo Musicピックアップ集","b8e99165-f3a0-41bd-b4c3-b3c04c665853","https://image-assets.m.nintendo.com/da5ced80-6f05-4a8f-b272-24fb1c1238a9"
16,"戦い（VS野生ポケモン）",92053,False,True,"ポケモンバトル","","Nintendo Musicピックアップ集","ec3c509c-6b60-4e35-bfda-0df66b8f808e","https://image-assets.m.nintendo.com/762f8966-4163-4154-a272-dc86ce5f71cd"
17,"勝利（VS野生ポケモン）",37133,False,False,"","Win!","","acbc7e33-2af8-499b-b1d8-94e7526e7ffd","https://image-assets.m.nintendo.com/30a5443e-88b2-4443-a45a-e4aa718c3e74"
18,"トレーナーあらわる（男の子編）",30653,False,False,"","","","bb7c5eb9-6d79-446f-9ba1-96bc57629ec9","https://image-assets.m.nintendo.com/fbe2edc3-a6c5-491f-ae7f-86a80f1efef8"
19,"ポケモンセンター",73333,False,True,"","ほっとひと息","Nintendo Musicピックアップ集","29266834-c835-49b5-80b0-eef893ecc746","https://image-assets.m.nintendo.com/d1e26fc4-5dbf-4d59-bc60-0d70c72d280d"
20,"プリンの歌",11493,False,False,"","","","22e3d2a5-23c2-4ab5-8d7f-114f24ac8fb7","https://image-assets.m.nintendo.com/3ae0058b-866e-4641-b191-aff131ef7ac4"
21,"ポケモン回復",7253,False,True,"","","Nintendo Musicピックアップ集","1268aa34-3274-46b5-b243-868c9b5ee5d3","https://image-assets.m.nintendo.com/9a5895ec-274e-4772-ae3d-7c6f7d95b029"
22,"道案内",33800,False,False,"","","","0fc58c8c-5343-43c4-8028-5d9e8cbb75c3","https://image-assets.m.nintendo.com/5edfe156-757c-49d1-82c2-8f3c74afb2c1"
23,"ポケモンジム",75493,False,True,"","ウォーキング","Nintendo Musicピックアップ集","77240389-2318-4d29-80e6-9ccd42dd9c54","https://image-assets.m.nintendo.com/dee8a9b9-f33b-4753-a5e5-061a4d4b2f35"
24,"対戦の緊張！",28093,False,False,"","","","6865b35c-b035-4d69-a415-040a4de22def","https://image-assets.m.nintendo.com/f99f1ac7-040b-4725-b2a8-8167c21e53f6"
25,"戦い（VSジムリーダー）",125853,False,True,"ポケモンバトル","元気を出して|強敵たち","Nintendo Musicピックアップ集","1537620c-80a7-4e71-9cfe-c97d97ef7a31","https://image-assets.m.nintendo.com/e1746dcc-6af2-4002-a4d2-03198b5c8c80"
