index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Theme",168431,True,True,"","标题画面","NES精选|Nintendo Music精选|Nintendo Music精选集|塞尔达传说精选","5c264b65-cfe5-49c3-a45b-5659f7e589e7","https://image-assets.m.nintendo.com/add2e4b7-8d76-4772-b154-9db8d49db5b2"
2,"Overworld Theme",98146,True,True,"","冒险的开始","NES精选|Nintendo Music精选|Nintendo Music精选集|塞尔达传说精选","03f12163-9526-4c26-bcfc-1fd5d8bf302a","https://image-assets.m.nintendo.com/89ae2975-fae1-4e7f-bb75-4132088e6a87"
3,"Battle Theme",57681,True,True,"","","Nintendo Music精选集","bea467bc-0e9f-4025-a4e0-0578690b0765","https://image-assets.m.nintendo.com/f115d79e-755e-44d4-9011-15437f4acf77"
4,"Level Up",2700,False,True,"","","Nintendo Music精选集","4b61d200-dcb9-40f7-88e4-f991ee1fc0f8","https://image-assets.m.nintendo.com/db7358d5-358b-4e79-a796-d78273f9bfff"
5,"Town Theme",145538,True,True,"","","Nintendo Music精选集","a610a355-453e-4cf4-89f9-409212566e79","https://image-assets.m.nintendo.com/5d804769-d04b-42a2-bd3f-7a5c5b09ac0d"
6,"Indoors Theme",44902,True,True,"","","Nintendo Music精选集","5211d6fc-9c73-4a28-b9b0-993cd85b3997","https://image-assets.m.nintendo.com/f5ac3644-f805-4643-8219-ebbcb8d4b056"
7,"Magic Acquired",1960,False,True,"","","Nintendo Music精选集","c8e69eac-d534-4ba2-85b7-463b85c23456","https://image-assets.m.nintendo.com/de872cd7-dd74-4cc3-9f3a-064fbac34a40"
8,"Palace Theme",197183,True,True,"","","NES精选|Nintendo Music精选|Nintendo Music精选集|塞尔达传说精选","69cc731a-4663-49cb-8ae9-746f7962e62c","https://image-assets.m.nintendo.com/4e3a8a9d-5acf-4ee1-809e-3ef794c14858"
9,"The Fairies",3773,False,False,"","","","fb20f1a5-bcc4-4ae1-bf3a-93d965823dc4","https://image-assets.m.nintendo.com/bedd12f5-c80d-44c0-aa60-b03381cbb516"
10,"Boss Fights",25737,True,True,"","强敌","Nintendo Music精选集","4274b63f-23d0-444e-897f-b3adac26c808","https://image-assets.m.nintendo.com/15b209a2-c422-4a93-8baf-05fbb56c7bef"
11,"Palace Cleared",5353,False,True,"","Win!","Nintendo Music精选集","24e38274-1cc8-4c53-bfd3-cb080a6719f0","https://image-assets.m.nintendo.com/5fc01d9a-a049-471c-b9eb-95977efe0605"
12,"Flute Melody",3774,False,False,"","","","5eed7bec-363f-4310-8589-56b9c565844b","https://image-assets.m.nintendo.com/920c7c4f-26db-4199-86fe-8aeb09792f4f"
13,"Defeated",3774,False,False,"","","","d5b9491b-deed-4eb7-938e-eaf1dadf6206","https://image-assets.m.nintendo.com/4b5c1991-da20-4f4d-ae55-b259c922cd06"
14,"Game Over",2114,False,False,"加侬·加侬多夫","","","3cb73f4a-c9ba-4140-a516-5ac05c4a30d8","https://image-assets.m.nintendo.com/4dc38447-e19c-4695-92c7-90f1d77ddfe9"
15,"Great Palace Theme",82175,True,True,"","","Nintendo Music精选集","d5f6d86b-254f-4e32-a3bc-4299ac21fdf0","https://image-assets.m.nintendo.com/abc408b4-4ea9-46b3-9e78-8e7eb7161fbb"
16,"Final Boss",47066,True,True,"","最终决战","Nintendo Music精选集","551559ad-8efa-4ef0-b2ec-cebe43c7a20f","https://image-assets.m.nintendo.com/1a15795a-8703-4985-b281-649bc385bc38"
17,"Triforce Acquired",4978,False,True,"","Win!","Nintendo Music精选集","c0b96cd8-0fea-4ccf-99c6-ce1b43a27030","https://image-assets.m.nintendo.com/99cdd504-9584-4a21-9e19-a38268ffb3b5"
18,"Princess Zelda",36382,True,True,"塞尔达","","Nintendo Music精选集","97791fce-4f0e-4fe0-b11f-967b24e5267c","https://image-assets.m.nintendo.com/b506dccc-945a-4fb3-9c4c-4e96812abc26"
19,"The End",74720,True,True,"","制作人员名单","Nintendo Music精选集","07cbce11-dc4b-4ccb-9a41-be8bb222780c","https://image-assets.m.nintendo.com/7e10d8ce-f196-4b07-a0a5-58b7ec7bf895"
