index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Theme",142874,True,True,"","","","1b0ec85d-5baf-4729-9f52-e17d6562fbbd","https://image-assets.m.nintendo.com/b91b4f5d-aa05-42f3-9d8d-1b2fb93f9471"
2,"Overworld Theme",98150,True,True,"","","","7713c079-7588-442f-93c0-12013f4dc348","https://image-assets.m.nintendo.com/b8b2fd51-64df-4211-b7bb-628dc95c33b8"
3,"Battle Theme",72591,True,True,"","","","220963fa-e16e-493d-9743-efd96d22dc6c","https://image-assets.m.nintendo.com/b19155ce-7778-47f9-a98a-af2e71b2cbe2"
4,"Level Up",2558,False,True,"","","","1aa5687a-6835-4c25-84e1-0e94974374a0","https://image-assets.m.nintendo.com/c9eb3f36-46b1-408e-8735-93644fc40557"
5,"Town Theme",145538,True,True,"","","","2acd5838-4e50-4f63-a6ae-a5e9b36c81c5","https://image-assets.m.nintendo.com/c6c2fb51-4c19-4a22-8c73-d10f0c188124"
6,"Indoors Theme",44903,True,True,"","","","e0546397-4b2d-4fc3-9902-89ad8f1d5fbf","https://image-assets.m.nintendo.com/518e035b-ebad-484e-b8bb-b846ca33194f"
7,"Magic Acquired",1959,False,True,"","","","39257eb0-8bdc-4fc2-85bb-29e4183b29c2","https://image-assets.m.nintendo.com/d7164b71-2ec4-4586-867d-65e93ac084ac"
8,"Palace Theme",197179,True,True,"","","","958d4cb0-81ab-4d12-bba3-b3346d1b31e3","https://image-assets.m.nintendo.com/e3c3156f-f13e-43e0-b02f-9d80185500e4"
9,"The Fairies",2648,False,False,"","","","55d8a39e-0bef-4eb5-a70a-1d5a787917ff","https://image-assets.m.nintendo.com/d620c699-93aa-43fa-87af-3ad49dd6ac47"
10,"Boss Fights",36378,True,True,"","","","02108212-3dfc-4078-b05d-212e092b457f","https://image-assets.m.nintendo.com/b422fa8c-1655-4abe-8646-7a5141058f53"
11,"Palace Cleared",5352,False,True,"","","","a9670d40-d0a3-4b8a-b102-a661662f35a1","https://image-assets.m.nintendo.com/8cd6b1fa-f064-47bd-a500-dae9e7eb019b"
12,"Flute Melody",2648,False,False,"","","","7bac6af1-c987-4b34-91fa-5178dfae03e8","https://image-assets.m.nintendo.com/c06ab72b-937e-4b26-8e11-61e81b49956c"
13,"Secret Entrance",2648,False,False,"","","","6d9d50e1-3f13-4e4e-9a99-412db4baee3f","https://image-assets.m.nintendo.com/480d2372-f069-4dd6-8ed4-1168ffe7d0ac"
14,"Defeated",3743,False,False,"","","","60058b52-e5bb-4674-a6c9-23cc16d3cc66","https://image-assets.m.nintendo.com/470fd175-d2a5-48f4-8b2d-c20a7c9aa341"
15,"Game Over",2214,False,False,"加侬·加侬多夫","","","aaf33b90-0d22-4192-a5ea-2d7932ea3081","https://image-assets.m.nintendo.com/0893eb1b-a9b3-45e5-949f-463a9dc735a3"
16,"Great Palace Theme",82172,True,True,"","","","a346caea-2d5a-485e-8119-6592b2a5b026","https://image-assets.m.nintendo.com/c36ed1aa-01c9-48db-9e6b-7541a2bc3df4"
17,"Final Boss",47027,True,True,"","","","e8000913-2441-4cb5-8977-7c2dc20c3e38","https://image-assets.m.nintendo.com/662f3911-09e2-4363-87d4-e612b6c9daa3"
18,"Triforce Acquired",4977,False,True,"","","","48166c32-28e9-48b9-948f-7f83e90d1280","https://image-assets.m.nintendo.com/4d7898c5-5507-45b8-8cb0-2b1d64f194f5"
19,"Princess Zelda",36382,True,True,"","","","3ed75b25-7eba-4f5b-b002-f30631a3ab2e","https://image-assets.m.nintendo.com/05cc7884-3e28-49d5-9e2e-de826dda8d97"
20,"The End",74716,True,True,"","","","ab9f7454-d08e-4440-9eef-337e5cd4e729","https://image-assets.m.nintendo.com/e10e6cba-e4e5-4006-837f-76b5aec4e084"
