index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Starlit Journey (JP Ver.)",237285,False,True,"主题曲","与歌声同行","Nintendo Music精选|Nintendo Music精选集","839bca74-4235-4a0c-8066-23c3426334c9","https://image-assets.m.nintendo.com/2bd0b8ce-c079-49f8-976f-a624378f5878"
2,"Starlit Journey (EN Ver.)",237561,False,True,"主题曲","与歌声同行","Nintendo Music精选|Nintendo Music精选集","9052ea8d-1568-4b13-82d5-b2db275b3b69","https://image-assets.m.nintendo.com/dd06728b-9f1f-44e4-968d-480f851c1664"
3,"Menu",99285,True,True,"","","Nintendo Music精选集","1cc09c36-3bb7-418f-b22d-4f42a1070b2b","https://image-assets.m.nintendo.com/cca8079c-f9cb-446e-8c29-4d21c67da2cd"
4,"Floria Fields",87048,True,True,"驭天飞行","冒险的开始|打起精神来|聆听春日","Nintendo Music精选|Nintendo Music精选集","e7090423-87a3-4672-bc20-87e4c7496653","https://image-assets.m.nintendo.com/e3d70e27-86b4-4fe8-b402-9a23024a36bf"
5,"Waveflow Waters",84045,True,True,"驭天飞行","打起精神来|聆听夏日","Nintendo Music精选集","bbcbb264-c0d1-45d7-9ac8-32c3acb0e986","https://image-assets.m.nintendo.com/d8f4f807-2048-45bd-91fb-6c024a4de42a"
6,"Airtopia Ruins",149602,True,True,"驭天飞行","","Nintendo Music精选集","f5f1a0c8-37ea-4755-a7f2-7da65f867c51","https://image-assets.m.nintendo.com/1376fba5-b05b-4607-8775-1a2eccc3729e"
7,"Crystalline Fissure",105122,True,True,"驭天飞行","","Nintendo Music精选集","add1987f-f17f-49e8-8420-f321b11a76df","https://image-assets.m.nintendo.com/53874a55-011a-46e1-8f00-b3ee8e4d19b8"
8,"Steamgust Forge",108449,True,True,"驭天飞行","跑步","Nintendo Music精选集","503e57b3-66ea-47de-bc94-f43a01dbbfce","https://image-assets.m.nintendo.com/edb7299a-a26d-4b6f-a4ad-fca4877d488e"
9,"Cavernous Corners",116347,True,True,"驭天飞行","","Nintendo Music精选集","b45a8085-9d58-4d6d-a527-f07d3700f00a","https://image-assets.m.nintendo.com/0244196e-5f72-48f9-a425-b4b35d231e78"
10,"Cyberion Highway",105739,True,True,"驭天飞行","","Nintendo Music精选集","35122e0d-59cf-4973-bc0a-95c9f561ff0f","https://image-assets.m.nintendo.com/27573a3e-4042-474b-88e7-b38351ccd37a"
11,"Mount Amberfalls",123598,True,True,"驭天飞行","聆听秋日","Nintendo Music精选集","4ef27855-e88a-4f60-a0d1-2e0aed4763e3","https://image-assets.m.nintendo.com/d65a378f-9966-408f-b180-ac364456520e"
12,"Galactic Nova",165463,True,True,"驭天飞行","最终决战","Nintendo Music精选集","88cc5776-b847-4d82-af57-eb6abbfad763","https://image-assets.m.nintendo.com/71c30aa0-a1b0-457c-bc06-7e3110a8d929"
13,"Air Ride: Results",38643,True,True,"驭天飞行","Win!","Nintendo Music精选集","0dab558a-229e-4eb6-9f6c-82c34b9b4273","https://image-assets.m.nintendo.com/fcbf3708-7db5-4e09-91d3-55fb91f45de8"
14,"Flower",56259,True,True,"俯视飞行","打起精神来|聆听春日","Nintendo Music精选集","84fc0571-0c25-4077-8768-c58c6036cc72","https://image-assets.m.nintendo.com/2962fdda-b8a6-4793-ab3c-cecc3add49a4"
15,"Flow",38251,True,True,"俯视飞行","聆听夏日","Nintendo Music精选集","51e664eb-be72-4033-903b-488d6e340ef3","https://image-assets.m.nintendo.com/7809638f-7441-41e6-ad51-b5bcc27c4f62"
16,"Air",64786,True,True,"俯视飞行","","Nintendo Music精选集","0b55e117-5141-4bc8-bdb0-7b5c3a0943c2","https://image-assets.m.nintendo.com/5cda9a72-8618-4682-bd09-ebb8d1c431a0"
17,"Crystal",50685,True,True,"俯视飞行","跑步","Nintendo Music精选集","f2fadfb9-9bf8-4893-b822-35c9fc2fd570","https://image-assets.m.nintendo.com/64ecf5b1-5822-4b22-a9b6-340e60731dc0"
18,"Steam",52793,True,True,"俯视飞行","","Nintendo Music精选集","7a77ee1e-9bd1-4566-8c2e-c74d95c7d83d","https://image-assets.m.nintendo.com/c4f22f70-b1f7-4b92-9437-132d6b1d2bf4"
19,"Cave",65455,True,True,"俯视飞行","","Nintendo Music精选集","a99810fc-f623-49f9-aecf-1bc853626385","https://image-assets.m.nintendo.com/ec9a8e4c-f365-4277-99b2-7345da412f93"
20,"Cyber",52866,True,True,"俯视飞行","跑步","Nintendo Music精选集","941b06f0-6eef-47e8-86b7-3f2decacb9f2","https://image-assets.m.nintendo.com/38358135-34f5-4f5c-97df-d23d426f58b0"
21,"Mountain",55697,True,True,"俯视飞行","聆听秋日","Nintendo Music精选集","5549594c-90c9-4bb9-90bd-a15df832a71d","https://image-assets.m.nintendo.com/6131e5fc-cbbf-4aa3-b95d-9ffa397d09a1"
22,"Nova",59085,True,True,"俯视飞行","","Nintendo Music精选集","833e144c-d8e2-4c7d-b0e1-823823562ce5","https://image-assets.m.nintendo.com/d2593444-0d5a-4f59-954e-78e07d330c60"
23,"Top Ride: Results",41603,True,True,"俯视飞行","Win!","Nintendo Music精选集","d8f38244-d6ce-4196-95fb-41c29dfac8d9","https://image-assets.m.nintendo.com/b17a5c4c-a17f-45ec-b8bf-8f0f242daff6"
24,"Skyah",308196,False,True,"主题曲|城市竞赛","打起精神来","Nintendo Music精选集","2ff7763f-1301-4edc-a402-746ec8198043","https://image-assets.m.nintendo.com/8b4bb439-32eb-4196-b057-ea53832e2aa8"
25,"Stats Graph",48443,True,True,"城市竞赛","","Nintendo Music精选集","11aa6699-a086-4737-9112-cef0bc65cf5a","https://image-assets.m.nintendo.com/7adf3780-76aa-4154-b618-8f5f41a2782e"
26,"Stadium: Title",5222,False,True,"城市竞赛","","Nintendo Music精选集","524b74de-6d80-46e3-a02a-7ab958a83131","https://image-assets.m.nintendo.com/31b326d4-5263-4839-8ae8-0b03d7294a8b"
27,"City Trial: Results",38403,True,True,"城市竞赛","Win!","Nintendo Music精选集","983aae1f-a394-49d9-9a79-99ab7aa31033","https://image-assets.m.nintendo.com/16bbe74c-8077-4942-b942-77035ae46ab2"
28,"Skyah (Alt)",309003,False,True,"主题曲|城市竞赛","打起精神来","Nintendo Music精选|Nintendo Music精选集","030ac051-8f66-4481-9292-98b20e7abb58","https://image-assets.m.nintendo.com/60e8618e-1c9a-4df3-ab0b-4b8c51e208de"
29,"VS. Gigantes",92109,True,True,"城市竞赛","","Nintendo Music精选集","260457aa-285a-45e3-9c73-e218a7201610","https://image-assets.m.nintendo.com/e424cc6a-fef7-4e4d-9280-63b7d62917d5"
30,"VS. Noir Dedede (Final)",113512,True,True,"","强敌","Nintendo Music精选集","ba039314-bbec-444c-81d3-5f4febd173ce","https://image-assets.m.nintendo.com/08c09166-740b-4da5-af39-2b18a6d57fd8"
31,"Road Trip: Results",37142,True,True,"","Win!","Nintendo Music精选集","b48cee00-5923-423d-883d-be79a8183347","https://image-assets.m.nintendo.com/ec01be31-f19a-40fd-b2da-2b08a7ef6396"
32,"Starlit Journey: Ballad (JP Ver.)",242414,False,True,"主题曲","与歌声同行|制作人员名单","Nintendo Music精选集","1e919967-bf0e-46ab-a825-633c362a7869","https://image-assets.m.nintendo.com/e4d8ebc8-01e3-4d83-8c4d-5b0e448af17c"
33,"Starlit Journey: Ballad (EN Ver.)",242204,False,True,"主题曲","与歌声同行|制作人员名单","Nintendo Music精选集","9f2d130e-65ab-465e-ac1b-f4b87d6fb807","https://image-assets.m.nintendo.com/b90a4ba4-3b87-4f7d-8324-35a2d852bcfb"
34,"VS. Hyper Gigantes",125989,True,True,"","","Nintendo Music精选集","b37c68e1-1d34-49b4-8afb-332f03f8992e","https://image-assets.m.nintendo.com/b393eda0-d6da-47ea-8b4e-f472e8521e95"
35,"Road Trip: Conclusion",30414,True,True,"","","Nintendo Music精选集","278431a5-f089-4143-9b1b-333e872cc268","https://image-assets.m.nintendo.com/cefeac74-6e08-4601-b151-1aaa649d0f20"
36,"Triumphant Return",29577,False,True,"","Win!","Nintendo Music精选集","a9d3460e-3c05-45e1-80a4-67c8ce728036","https://image-assets.m.nintendo.com/b4e8aa6a-6b05-4b9d-8135-845a28120336"
37,"Starlit Journey: Free (JP Ver.)",241458,False,True,"主题曲","与歌声同行|制作人员名单","Nintendo Music精选集","19ff6fbb-32a3-4833-b3d6-d207617ef6d8","https://image-assets.m.nintendo.com/70b9100b-6b76-4f7e-bafc-b18e520c2725"
38,"Starlit Journey: Free (EN Ver.)",241157,False,True,"主题曲","与歌声同行|制作人员名单","Nintendo Music精选集","446d79e8-4ebc-4dee-baa6-62ab6bd7765f","https://image-assets.m.nintendo.com/2446142e-8c0d-47ae-a7c7-d845224b8f6b"
39,"Air Ride: Test Ride",51866,True,False,"驭天飞行","","","b8c8628f-4b41-4ed9-8c30-701d2aaa7b43","https://image-assets.m.nintendo.com/57b0d66b-91d4-44eb-bcf0-d9acfa045e5f"
40,"Fantasy Meadows",98171,True,False,"驭天飞行","聆听春日","","6c5f24a2-7cd9-4502-8fe3-2e42186cb0a0","https://image-assets.m.nintendo.com/1b01ca37-7035-4182-a6d1-a9ade2667cdc"
41,"Celestial Valley",65597,True,False,"驭天飞行","","","05567422-6891-497e-a45e-43ef4eee6365","https://image-assets.m.nintendo.com/4c7d2def-d926-4ac3-882c-2cec8af0553a"
42,"Sky Sands",77670,True,False,"驭天飞行","","","61da819e-0a55-4321-bb9c-1c561a3f43e0","https://image-assets.m.nintendo.com/686eb3aa-163f-41fe-b3be-5fa8520ce06f"
43,"Frozen Hillside",90121,True,False,"驭天飞行","聆听冬日","","0d12b758-7b96-422f-b63c-220d4dcf58d8","https://image-assets.m.nintendo.com/fc37e9e9-9b84-4232-b252-c65855b65a36"
44,"Magma Flows",101641,True,False,"驭天飞行","","","4c6accee-430a-441f-a143-75bf9a9ac2dd","https://image-assets.m.nintendo.com/1a405ea4-9656-408b-ac4a-9ea05a9f7590"
45,"Beanstalk Park",87036,True,False,"驭天飞行","","","d556ad34-1139-434f-bd71-876a88c07eee","https://image-assets.m.nintendo.com/e084e20c-7d7f-4929-814e-8afd047ec77e"
46,"Machine Passage",117782,True,False,"驭天飞行","","","095f5dfd-cf54-449f-a059-cc20ddf9c40f","https://image-assets.m.nintendo.com/42fdf4bd-91c3-44ac-865f-d1b53a079a1e"
47,"Nebula Belt",80241,True,False,"驭天飞行","","","053a7252-fbf8-425c-a8d0-d1aa37aa4564","https://image-assets.m.nintendo.com/53bd798c-f932-43e2-8798-477dabe998bb"
48,"Floria Fields (Alt)",60797,True,False,"驭天飞行","聆听春日","","71961bb5-b3c5-49b6-9760-7acb562220af","https://image-assets.m.nintendo.com/64930936-ac5c-453b-9106-ca67136bc43f"
49,"Waveflow Waters (Alt)",78969,True,False,"驭天飞行","步行|聆听夏日","","028075b2-620d-4314-8315-777bf74a96d0","https://image-assets.m.nintendo.com/4f89986b-acd4-4342-b134-e582d10119b1"
50,"Airtopia Ruins (Alt)",90816,True,False,"驭天飞行","","","94e82bda-f315-4dea-8097-1d377b75d2a1","https://image-assets.m.nintendo.com/673d8a10-7db8-43c6-832e-98997b52f35a"
51,"Crystalline Fissure (Alt)",71816,True,False,"驭天飞行","","","aed895c4-cd23-48c0-bd87-9bdc7e71bf2a","https://image-assets.m.nintendo.com/82c163cf-dfd0-456d-b8e2-5b2149474876"
52,"Steamgust Forge (Alt)",54246,True,False,"驭天飞行","","","9660f3ef-6653-48ce-b92a-20bcc31d0ab1","https://image-assets.m.nintendo.com/80587cf5-f353-43e0-8385-6af364e58f6a"
53,"Cavernous Corners (Alt)",109283,True,False,"驭天飞行","","","5a1ba3ee-5e75-4237-b802-6f9c58c2a956","https://image-assets.m.nintendo.com/9d1723ae-a945-4707-ac49-2212ac3fa050"
54,"Cyberion Highway (Alt)",174045,True,False,"驭天飞行","","","e3f8d484-f88e-4718-ad8f-d8db1ee97aec","https://image-assets.m.nintendo.com/8eecf4db-ccaa-45ba-a22e-923346b93d38"
55,"Mount Amberfalls (Alt)",61609,True,False,"驭天飞行","","","0c030ca6-fa20-4fe4-8730-fcd0a66baf2a","https://image-assets.m.nintendo.com/09205604-dcc4-482f-9646-6e0e52f2aeee"
56,"Galactic Nova (Alt)",152792,True,False,"驭天飞行|魔法洛亚","","","514a9262-dc94-4b8b-bc42-07c9b1f1615d","https://image-assets.m.nintendo.com/2fc7e6a6-de25-4570-847c-f8183f0e1db4"
57,"Fantasy Meadows (Alt)",36630,True,False,"驭天飞行","","","2fc43f56-5b11-48bb-a371-1d74b03a90de","https://image-assets.m.nintendo.com/d5f35504-0436-460d-88b4-6cf14af2e957"
58,"Celestial Valley (Alt)",51807,True,False,"驭天飞行","","","11e68b4c-f358-4def-9674-349411193b7a","https://image-assets.m.nintendo.com/7027eac3-df40-449e-9db0-4255242d4730"
59,"Sky Sands (Alt)",67628,True,False,"驭天飞行","","","b20822f0-e16a-4a95-99d0-1dc811bfcaa9","https://image-assets.m.nintendo.com/17ee9ebb-ad0c-42c5-9112-85b11e3fdbba"
60,"Frozen Hillside (Alt)",51112,True,False,"驭天飞行","聆听冬日","","96b8e285-71b4-4381-b16b-949dc5a1caa9","https://image-assets.m.nintendo.com/dd9eafef-a528-4cf3-8696-1fe08fd3bf18"
61,"Magma Flows (Alt)",77301,True,False,"驭天飞行|魅塔骑士","","","0925225c-9c05-46a2-b528-1cd054013e39","https://image-assets.m.nintendo.com/8475cc2c-5a4b-4130-9ade-5441bb359fd8"
62,"Beanstalk Park (Alt)",90324,True,False,"驭天飞行","","","8c9664c1-56a5-4195-863d-fb94015e2a5b","https://image-assets.m.nintendo.com/017bc0f6-31e4-4401-b71a-4957e2089938"
63,"Machine Passage (Alt)",69085,True,False,"驭天飞行|魅塔骑士","","","49ba6983-cc72-4cac-8d7f-29e19be6fab3","https://image-assets.m.nintendo.com/42878909-a79b-4fc6-b507-d578368868ea"
64,"Checker Knights (Alt)",105184,True,False,"驭天飞行","","","fe4c2d8b-836b-4e39-a72c-c5d1646d8a9e","https://image-assets.m.nintendo.com/45ea55ec-0bda-46b3-ab7e-dcf1c8488e2a"
65,"Nebula Belt (Alt)",160384,True,False,"驭天飞行","","","b2b16110-b16e-48ee-9317-bbf6316fae6c","https://image-assets.m.nintendo.com/b4e5d9d3-ab00-416f-8d74-740283ad0356"
66,"Top Ride: Test Ride",51859,True,False,"俯视飞行","","","d78ac71a-b481-4ae7-a51c-15182f6fb430","https://image-assets.m.nintendo.com/0713ddb3-4b52-4632-b8d5-7f25d4aceb11"
67,"Flower (Alt)",93810,True,False,"俯视飞行","","","22be687e-7540-4de6-ba0f-7611be2e5501","https://image-assets.m.nintendo.com/79630a5d-c32f-470f-88cb-dc1c31e79f90"
68,"Flow (Alt)",110014,True,False,"俯视飞行","","","0421be83-d40d-4d47-b634-ce239cddb0fc","https://image-assets.m.nintendo.com/db33829a-7a99-4a33-9bed-1f9f3020fb28"
69,"Air (Alt)",67529,True,False,"俯视飞行","","","c445869d-6bcd-4758-a10c-30970bc5222f","https://image-assets.m.nintendo.com/257a06b2-f0d1-4de3-ac18-746f77e5b9d0"
70,"Crystal (Alt)",73605,True,False,"俯视飞行","","","eed72a56-c04e-4633-8bae-262f1152ca5a","https://image-assets.m.nintendo.com/b4a144e5-e689-4bc9-9b03-89fba349ed3e"
71,"Steam (Alt)",66837,True,False,"俯视飞行","","","1f1c43d3-8639-40f5-82a7-721252c67d68","https://image-assets.m.nintendo.com/0ba3d2da-2f45-4f27-831e-cf4bc4696766"
72,"Cave (Alt)",51985,True,False,"俯视飞行","","","8ef3469f-f00f-4b66-a5ed-0ddcf00c6d1f","https://image-assets.m.nintendo.com/c39fe781-e4ac-4cd9-ab1b-0c0cbb186f6e"
73,"Cyber (Alt)",84190,True,False,"俯视飞行","","","510c3f2f-c5c2-4f49-8cf3-d7c0333698ce","https://image-assets.m.nintendo.com/29e93b84-f254-458b-969a-81a92a5b6852"
74,"Mountain (Alt)",94113,True,False,"俯视飞行","","","6b7649bf-bb42-4e23-a6ab-b926691bd949","https://image-assets.m.nintendo.com/90357792-88c8-453b-bb3c-3fd4c32af866"
75,"Nova (Alt)",60704,True,False,"俯视飞行","","","c1f464e9-92ce-4a76-9871-118b90c79685","https://image-assets.m.nintendo.com/c41d2f07-312a-48db-a0ad-d45c72c36c34"
76,"City Trial: City",132598,True,False,"城市竞赛","","","c9b8e78b-ec22-4aaf-ba2d-bf20f1b3b210","https://image-assets.m.nintendo.com/c8034d72-2ef6-468c-8170-7839a5049cb7"
77,"City Trial: City (Alt)",93510,True,False,"城市竞赛","","","2e5432e9-09e3-4ff5-9bb5-569be921a40a","https://image-assets.m.nintendo.com/c510a19b-032e-4af3-9f75-d22d02943bd6"
78,"Cracked Boxes All Over",38751,True,False,"城市竞赛","","","29010f90-2af1-4199-9e4f-281815a2381a","https://image-assets.m.nintendo.com/a47d26c9-cb30-4336-8ea5-ec89dcda2311"
79,"Boxes Raining Down",69700,True,False,"城市竞赛","","","908a4ad8-936f-485f-a9f8-550a27ddfedc","https://image-assets.m.nintendo.com/74efb980-fa5f-41fc-87b6-3fd4b2b9891c"
80,"Energy Tanks Running Amok",77801,True,False,"城市竞赛","","","06d46d5e-5301-4661-af03-35d55edeeb71","https://image-assets.m.nintendo.com/9eb3c0fd-c786-4ae2-a52e-4d5d25b779bf"
81,"Short Race",45116,True,False,"城市竞赛","跑步","","5341b121-0a54-4d5e-ae85-7528860278a7","https://image-assets.m.nintendo.com/47f45af0-d747-4214-8f98-50b9a5db795b"
82,"Dustup Derby",67098,True,False,"城市竞赛","","","89294954-1a35-403a-baac-76dc3f766d96","https://image-assets.m.nintendo.com/2816a7d9-ef26-4dfb-8e85-9104de6ee4ff"
