index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"A Connectar Portal Opens",153212,False,True,"","","Nintendo Music推薦集","0500dddf-547b-460f-bf62-cc28b1c5acae","https://image-assets.m.nintendo.com/bc1f1433-fd33-4469-b41a-c029ff96ff29"
2,"Brothership!",45317,False,True,"","標題畫面","Nintendo Music推薦集","2f5dadf6-a610-4faf-be09-6962855ccfe4","https://image-assets.m.nintendo.com/4de72551-ae01-408d-984c-714449cfc264"
3,"Waking Up",58042,False,True,"","","Nintendo Music推薦集","c7284265-d2db-4a28-8530-e47e9fa5c247","https://image-assets.m.nintendo.com/d028540e-4912-4f7f-a595-979463eb9d56"
4,"Guided by Luigi's Voice",53911,False,True,"","","Nintendo Music推薦集","b893df92-d4f3-4471-adcb-117cdd7e8fd7","https://image-assets.m.nintendo.com/575fc8b5-17a1-46ab-b8f6-cbf86d884201"
5,"Connie and Shipshape Island",193965,True,True,"塔噗|柯連塔|柯連庫塔魯大地|柯連庫塔魯大地的同伴們","","Nintendo Music推薦集|Nintendo Music精選|Nintendo Switch精選|瑪利歐精選","6572b7e5-d8ea-4c91-ba44-809595819cec","https://image-assets.m.nintendo.com/5d07b1ca-4e4e-4245-b6fd-bcc7a1d27ff0"
6,"Discovered a Drifting Island!",6082,False,True,"","","Nintendo Music推薦集","953d3712-7f51-4869-abc1-01be4dcdad35","https://image-assets.m.nintendo.com/67cbb7f3-3620-4833-a3d3-a8f7e42703dc"
7,"Fly, Mario and Luigi!",8762,False,False,"","","","13ad064a-72ba-4ce6-90ac-7264695faa2c","https://image-assets.m.nintendo.com/06f89f65-a650-4e66-820d-fd8921bfd989"
8,"Where'd They Land Now?",8027,False,False,"","","","ac1e40d9-8520-4caf-b15c-b5ff4503522c","https://image-assets.m.nintendo.com/87f1bac1-1a89-47f7-aec4-c3a77caf12b0"
9,"Lighthouse of Rumbla Island",251362,True,True,"柯連庫塔魯大地","走路|開始冒險","Nintendo Music推薦集","3618b6fc-8e25-460d-ae42-b53aeb5b2ccc","https://image-assets.m.nintendo.com/c6e4d1a3-9a28-40d7-a7da-a020bcd16aa1"
10,"What's Gonna Happen?!",146318,True,False,"","","","6edfcebb-115d-47e7-9fcc-cf8a36873f7e","https://image-assets.m.nintendo.com/6c7c4b30-b5a0-43c6-a683-b0c1f39940e9"
11,"Attack Combos!",115374,True,True,"戰鬥","打起精神來|跑步","Nintendo Music推薦集|Nintendo Music精選|Nintendo Switch精選|瑪利歐精選","0e65efc3-cd5a-49ca-83ae-e50b7e12a600","https://image-assets.m.nintendo.com/735784f2-c432-4dbc-ace3-42661fc0b8cc"
12,"Victory!",43889,True,True,"","Win!","Nintendo Music推薦集","4d50af63-b636-4f90-b70e-be829c468665","https://image-assets.m.nintendo.com/74f3971e-0074-42d4-a712-8e77956c342f"
13,"Exciting!",199734,True,False,"","","","c8c81ee8-29bb-46ba-8bb9-365061267273","https://image-assets.m.nintendo.com/7ee882c8-7d36-4659-9074-e350f3dc8bc4"
14,"Luigi Logic",11693,False,True,"路易吉","","Nintendo Music推薦集","7039aa27-7533-4728-9b9b-79470cde0fcf","https://image-assets.m.nintendo.com/6310f873-348b-421a-855a-3be46ff636bb"
15,"Wow! The Rumbla Dish!",47535,False,True,"","","Nintendo Music推薦集","c2f090bd-3ec2-4b73-9c6d-8157112ff935","https://image-assets.m.nintendo.com/b4a05432-1a1c-4089-9605-b54b7fefe22a"
16,"First-Time Island Link",59502,False,True,"塔噗|柯連庫塔魯大地的同伴們","","Nintendo Music推薦集","dd5ceae3-bb63-4575-a789-f5d4b33045f5","https://image-assets.m.nintendo.com/66f22084-0560-48f5-927f-51d75f9a1526"
